trial,planner,goal_type,pose,desired_x,desired_y,desired_z,actual_x,actual_y,actual_z,planning_time_sec,final_error_m,bag_file,notes
1,RRTConnect,task,pose1,0.03,0.02,0.21,,,,,,rrtconnect_task_pose1.bag,
2,RRTConnect,task,pose2,0.04,0.04,0.20,,,,,,rrtconnect_task_pose2.bag,
3,RRTConnect,task,pose3,0.04,-0.02,0.22,,,,,,rrtconnect_task_pose3.bag,
4,PRM,task,pose1,0.03,0.02,0.21,,,,,,prm_task_pose1.bag,
5,PRM,task,pose2,0.04,0.04,0.20,,,,,,prm_task_pose2.bag,
6,PRM,task,pose3,0.04,-0.02,0.22,,,,,,prm_task_pose3.bag,
7,KPIECE,task,pose1,0.03,0.02,0.21,,,,,,kpiece_task_pose1.bag,
8,KPIECE,task,pose2,0.04,0.04,0.20,,,,,,kpiece_task_pose2.bag,
9,KPIECE,task,pose3,0.04,-0.02,0.22,,,,,,kpiece_task_pose3.bag,
10,RRTConnect,joint,pose1,0.03,0.02,0.21,,,,,,rrtconnect_joint_pose1.bag,
11,RRTConnect,joint,pose2,0.04,0.04,0.20,,,,,,rrtconnect_joint_pose2.bag,
12,RRTConnect,joint,pose3,0.04,-0.02,0.22,,,,,,rrtconnect_joint_pose3.bag,
13,PRM,joint,pose1,0.03,0.02,0.21,,,,,,prm_joint_pose1.bag,
14,PRM,joint,pose2,0.04,0.04,0.20,,,,,,prm_joint_pose2.bag,
15,PRM,joint,pose3,0.04,-0.02,0.22,,,,,,prm_joint_pose3.bag,
16,KPIECE,joint,pose1,0.03,0.02,0.21,,,,,,kpiece_joint_pose1.bag,
17,KPIECE,joint,pose2,0.04,0.04,0.20,,,,,,kpiece_joint_pose2.bag,
18,KPIECE,joint,pose3,0.04,-0.02,0.22,,,,,,kpiece_joint_pose3.bag,
