time,desired_x,desired_y,desired_z,desired_vx,desired_vy,desired_vz
0.0000,-0.180337,0.054733,0.205179,0.000000,0.000000,0.000000
0.0500,-0.180333,0.054732,0.205180,0.000240,-0.000040,0.000006
0.1000,-0.180306,0.054727,0.205180,0.000937,-0.000155,0.000021
0.1500,-0.180233,0.054715,0.205182,0.002055,-0.000339,0.000047
0.2000,-0.180094,0.054692,0.205185,0.003559,-0.000588,0.000082
0.2500,-0.179871,0.054655,0.205190,0.005416,-0.000894,0.000124
0.3000,-0.179547,0.054602,0.205198,0.007592,-0.001254,0.000174
0.3500,-0.179107,0.054529,0.205208,0.010057,-0.001661,0.000230
0.4000,-0.178537,0.054435,0.205221,0.012778,-0.002110,0.000293
0.4500,-0.177825,0.054318,0.205237,0.015726,-0.002597,0.000360
0.5000,-0.176961,0.054175,0.205257,0.018872,-0.003116,0.000433
0.5500,-0.175935,0.054006,0.205280,0.022187,-0.003664,0.000508
0.6000,-0.174740,0.053808,0.205308,0.025645,-0.004235,0.000588
0.6500,-0.173369,0.053582,0.205339,0.029218,-0.004825,0.000670
0.7000,-0.171817,0.053325,0.205375,0.032882,-0.005430,0.000754
0.7500,-0.170079,0.053039,0.205415,0.036612,-0.006046,0.000839
0.8000,-0.168155,0.052721,0.205459,0.040385,-0.006669,0.000926
0.8500,-0.166041,0.052372,0.205507,0.044177,-0.007295,0.001012
0.9000,-0.163737,0.051991,0.205560,0.047967,-0.007921,0.001099
0.9500,-0.161244,0.051580,0.205617,0.051735,-0.008543,0.001186
1.0000,-0.158564,0.051137,0.205678,0.055460,-0.009158,0.001271
1.0500,-0.155699,0.050664,0.205744,0.059124,-0.009763,0.001355
1.1000,-0.152653,0.050161,0.205814,0.062707,-0.010355,0.001437
1.1500,-0.149430,0.049629,0.205888,0.066195,-0.010931,0.001517
1.2000,-0.146036,0.049068,0.205966,0.069569,-0.011488,0.001594
1.2500,-0.142475,0.048480,0.206047,0.072815,-0.012024,0.001669
1.3000,-0.138756,0.047866,0.206132,0.075919,-0.012536,0.001740
1.3500,-0.134886,0.047227,0.206221,0.078867,-0.013023,0.001808
1.4000,-0.130873,0.046564,0.206313,0.081647,-0.013482,0.001871
1.4500,-0.126724,0.045880,0.206408,0.084247,-0.013911,0.001931
1.5000,-0.122451,0.045174,0.206506,0.086656,-0.014309,0.001986
1.5500,-0.118062,0.044449,0.206607,0.088866,-0.014674,0.002037
1.6000,-0.113568,0.043707,0.206710,0.090866,-0.015004,0.002082
1.6500,-0.108979,0.042949,0.206815,0.092649,-0.015299,0.002123
1.7000,-0.104307,0.042178,0.206922,0.094209,-0.015556,0.002159
1.7500,-0.099562,0.041394,0.207031,0.095539,-0.015776,0.002190
1.8000,-0.094757,0.040601,0.207141,0.096634,-0.015957,0.002215
1.8500,-0.089903,0.039799,0.207252,0.097490,-0.016098,0.002234
1.9000,-0.085012,0.038992,0.207364,0.098103,-0.016200,0.002248
1.9500,-0.080096,0.038180,0.207477,0.098472,-0.016261,0.002257
2.0000,-0.075169,0.037366,0.207590,0.098596,-0.016281,0.002260
2.0500,-0.070241,0.036553,0.207703,0.098472,-0.016261,0.002257
2.1000,-0.065326,0.035741,0.207815,0.098103,-0.016200,0.002248
2.1500,-0.060435,0.034933,0.207927,0.097490,-0.016098,0.002234
2.2000,-0.055581,0.034132,0.208039,0.096634,-0.015957,0.002215
2.2500,-0.050775,0.033338,0.208149,0.095539,-0.015776,0.002190
2.3000,-0.046031,0.032555,0.208258,0.094209,-0.015556,0.002159
2.3500,-0.041358,0.031783,0.208365,0.092649,-0.015299,0.002123
2.4000,-0.036770,0.031025,0.208470,0.090866,-0.015004,0.002082
2.4500,-0.032275,0.030283,0.208573,0.088866,-0.014674,0.002037
2.5000,-0.027886,0.029559,0.208673,0.086656,-0.014309,0.001986
2.5500,-0.023613,0.028853,0.208771,0.084247,-0.013911,0.001931
2.6000,-0.019465,0.028168,0.208866,0.081647,-0.013482,0.001871
2.6500,-0.015451,0.027505,0.208958,0.078867,-0.013023,0.001808
2.7000,-0.011581,0.026866,0.209047,0.075919,-0.012536,0.001740
2.7500,-0.007862,0.026252,0.209132,0.072815,-0.012024,0.001669
2.8000,-0.004302,0.025664,0.209214,0.069569,-0.011488,0.001594
2.8500,-0.000907,0.025104,0.209292,0.066195,-0.010931,0.001517
